YEAR,MO,DY,HR,T2M;
2015,1,1,1,0.77;
2015,1,1,2,1.14;
2015,1,1,3,1.55;
2015,1,1,4,1.77;
2015,1,1,5,1.9;
2015,1,1,6,2.05;
2015,1,1,7,2.35;
2015,1,1,8,2.79;
2015,1,1,9,3.53;
2015,1,1,10,4.04;
2015,1,1,11,4.44;
2015,1,1,12,4.76;
2015,1,1,13,4.86;
2015,1,1,14,4.67;
2015,1,1,15,4.06;
2015,1,1,16,3.43;
2015,1,1,17,3.34;
2015,1,1,18,3.41;
2015,1,1,19,3.54;
2015,1,1,20,3.65;
2015,1,1,21,3.89;
2015,1,1,22,4.02;
2015,1,1,23,4.01;
2015,1,2,0,4.17;
2015,1,2,1,4.46;
2015,1,2,2,4.92;
2015,1,2,3,5.15;
2015,1,2,4,4.97;
2015,1,2,5,4.62;
2015,1,2,6,4.28;
2015,1,2,7,4.08;
2015,1,2,8,4.13;
2015,1,2,9,4.48;
2015,1,2,10,4.9;
2015,1,2,11,5.5;
2015,1,2,12,6.26;
2015,1,2,13,6.53;
2015,1,2,14,6.3;
2015,1,2,15,5.54;
2015,1,2,16,4.93;
2015,1,2,17,4.91;
2015,1,2,18,4.94;
2015,1,2,19,4.84;
2015,1,2,20,4.6;
2015,1,2,21,4.51;
2015,1,2,22,4.41;
2015,1,2,23,4.35;
2015,1,3,0,4.12;
2015,1,3,1,3.98;
2015,1,3,2,3.76;
2015,1,3,3,3.44;
2015,1,3,4,3.43;
2015,1,3,5,3.72;
2015,1,3,6,4.0;
2015,1,3,7,4.16;
2015,1,3,8,4.81;
2015,1,3,9,6.48;
2015,1,3,10,7.94;
2015,1,3,11,8.78;
2015,1,3,12,9.12;
2015,1,3,13,9.08;
2015,1,3,14,8.57;
2015,1,3,15,7.58;
2015,1,3,16,7.34;
2015,1,3,17,7.31;
2015,1,3,18,7.16;
2015,1,3,19,6.85;
2015,1,3,20,6.49;
2015,1,3,21,5.91;
2015,1,3,22,5.06;
2015,1,3,23,4.19;
2015,1,4,0,3.98;
2015,1,4,1,4.12;
2015,1,4,2,3.91;
2015,1,4,3,3.43;
2015,1,4,4,2.86;
2015,1,4,5,2.84;
2015,1,4,6,3.12;
2015,1,4,7,4.62;
2015,1,4,8,6.33;
2015,1,4,9,7.96;
2015,1,4,10,9.05;
2015,1,4,11,9.96;
2015,1,4,12,10.57;
2015,1,4,13,10.87;
2015,1,4,14,10.88;
2015,1,4,15,10.12;
2015,1,4,16,8.05;
2015,1,4,17,6.79;
2015,1,4,18,6.19;
2015,1,4,19,5.75;
2015,1,4,20,5.37;
2015,1,4,21,4.92;
2015,1,4,22,4.57;
2015,1,4,23,4.3;
2015,1,5,0,4.13;
2015,1,5,1,4.04;
2015,1,5,2,4.02;
2015,1,5,3,4.22;
2015,1,5,4,4.91;
2015,1,5,5,5.72;
2015,1,5,6,6.01;
2015,1,5,7,5.72;
2015,1,5,8,5.81;
2015,1,5,9,7.06;
2015,1,5,10,8.4;
2015,1,5,11,8.83;
2015,1,5,12,8.83;
2015,1,5,13,8.75;
2015,1,5,14,8.44;
2015,1,5,15,7.28;
2015,1,5,16,5.82;
2015,1,5,17,5.4;
2015,1,5,18,5.37;
2015,1,5,19,5.43;
2015,1,5,20,4.98;
2015,1,5,21,4.37;
2015,1,5,22,4.12;
2015,1,5,23,4.23;
2015,1,6,0,4.38;
2015,1,6,1,4.49;
2015,1,6,2,4.65;
2015,1,6,3,4.75;
2015,1,6,4,4.59;
2015,1,6,5,4.26;
2015,1,6,6,4.2;
2015,1,6,7,4.23;
2015,1,6,8,5.03;
2015,1,6,9,6.7;
2015,1,6,10,7.7;
2015,1,6,11,8.18;
2015,1,6,12,8.51;
2015,1,6,13,8.72;
2015,1,6,14,8.69;
2015,1,6,15,7.75;
2015,1,6,16,6.52;
2015,1,6,17,6.11;
2015,1,6,18,5.91;
2015,1,6,19,5.73;
2015,1,6,20,5.69;
2015,1,6,21,5.9;
2015,1,6,22,5.8;
2015,1,6,23,5.65;
2015,1,7,0,5.76;
2015,1,7,1,5.83;
2015,1,7,2,5.89;
2015,1,7,3,5.96;
2015,1,7,4,6.01;
2015,1,7,5,6.01;
2015,1,7,6,5.93;
2015,1,7,7,5.82;
2015,1,7,8,6.18;
2015,1,7,9,7.3;
2015,1,7,10,7.99;
2015,1,7,11,8.45;
2015,1,7,12,8.87;
2015,1,7,13,9.12;
2015,1,7,14,9.2;
2015,1,7,15,8.73;
2015,1,7,16,7.7;
2015,1,7,17,7.26;
2015,1,7,18,7.02;
2015,1,7,19,6.89;
2015,1,7,20,6.73;
2015,1,7,21,6.62;
2015,1,7,22,6.43;
2015,1,7,23,6.31;
2015,1,8,0,6.26;
2015,1,8,1,6.26;
2015,1,8,2,6.35;
2015,1,8,3,6.44;
2015,1,8,4,6.51;
2015,1,8,5,6.49;
2015,1,8,6,6.19;
2015,1,8,7,5.81;
2015,1,8,8,5.82;
2015,1,8,9,6.48;
2015,1,8,10,7.25;
2015,1,8,11,7.96;
2015,1,8,12,8.27;
2015,1,8,13,8.3;
2015,1,8,14,8.05;
2015,1,8,15,7.24;
2015,1,8,16,5.56;
2015,1,8,17,4.83;
2015,1,8,18,4.73;
2015,1,8,19,4.8;
2015,1,8,20,4.84;
2015,1,8,21,4.84;
2015,1,8,22,4.77;
2015,1,8,23,4.65;
2015,1,9,0,4.63;
2015,1,9,1,4.62;
2015,1,9,2,4.47;
2015,1,9,3,4.26;
2015,1,9,4,4.08;
2015,1,9,5,4.01;
2015,1,9,6,4.06;
2015,1,9,7,4.16;
2015,1,9,8,4.4;
2015,1,9,9,4.59;
2015,1,9,10,4.43;
2015,1,9,11,4.34;
2015,1,9,12,4.36;
2015,1,9,13,4.47;
2015,1,9,14,4.53;
2015,1,9,15,4.48;
2015,1,9,16,4.18;
2015,1,9,17,4.01;
2015,1,9,18,4.16;
2015,1,9,19,4.31;
2015,1,9,20,4.32;
2015,1,9,21,4.53;
2015,1,9,22,4.91;
2015,1,9,23,5.02;
2015,1,10,0,5.16;
2015,1,10,1,5.23;
2015,1,10,2,5.35;
2015,1,10,3,5.44;
2015,1,10,4,5.31;
2015,1,10,5,5.06;
2015,1,10,6,4.79;
2015,1,10,7,4.55;
2015,1,10,8,4.77;
2015,1,10,9,5.4;
2015,1,10,10,5.98;
2015,1,10,11,6.76;
2015,1,10,12,7.52;
2015,1,10,13,8.3;
2015,1,10,14,8.89;
2015,1,10,15,8.73;
2015,1,10,16,7.8;
2015,1,10,17,7.94;
2015,1,10,18,8.37;
2015,1,10,19,8.84;
2015,1,10,20,9.1;
2015,1,10,21,9.25;
2015,1,10,22,9.17;
2015,1,10,23,8.98;
2015,1,11,0,8.75;
2015,1,11,1,8.46;
2015,1,11,2,8.19;
2015,1,11,3,7.94;
2015,1,11,4,7.56;
2015,1,11,5,7.16;
2015,1,11,6,6.94;
2015,1,11,7,6.76;
2015,1,11,8,6.87;
2015,1,11,9,7.07;
2015,1,11,10,7.58;
2015,1,11,11,8.28;
2015,1,11,12,9.01;
2015,1,11,13,9.77;
2015,1,11,14,10.12;
2015,1,11,15,9.77;
2015,1,11,16,8.34;
2015,1,11,17,7.69;
2015,1,11,18,7.48;
2015,1,11,19,7.28;
2015,1,11,20,7.08;
2015,1,11,21,6.92;
2015,1,11,22,6.45;
2015,1,11,23,6.07;
2015,1,12,0,6.14;
2015,1,12,1,6.76;
2015,1,12,2,7.53;
2015,1,12,3,7.74;
2015,1,12,4,6.86;
2015,1,12,5,5.65;
2015,1,12,6,4.81;
2015,1,12,7,4.4;
2015,1,12,8,4.94;
2015,1,12,9,6.28;
2015,1,12,10,7.85;
2015,1,12,11,8.49;
2015,1,12,12,9.03;
2015,1,12,13,9.66;
2015,1,12,14,9.53;
2015,1,12,15,8.68;
2015,1,12,16,7.3;
2015,1,12,17,6.92;
2015,1,12,18,6.86;
2015,1,12,19,6.7;
2015,1,12,20,6.43;
2015,1,12,21,6.08;
2015,1,12,22,5.75;
2015,1,12,23,5.51;
2015,1,13,0,5.25;
2015,1,13,1,5.26;
2015,1,13,2,5.08;
2015,1,13,3,4.82;
2015,1,13,4,4.62;
2015,1,13,5,4.24;
2015,1,13,6,3.97;
2015,1,13,7,3.85;
2015,1,13,8,4.29;
2015,1,13,9,5.2;
2015,1,13,10,5.78;
2015,1,13,11,6.63;
2015,1,13,12,7.32;
2015,1,13,13,7.89;
2015,1,13,14,8.3;
2015,1,13,15,7.86;
2015,1,13,16,6.95;
2015,1,13,17,6.83;
2015,1,13,18,6.9;
2015,1,13,19,6.73;
2015,1,13,20,6.56;
2015,1,13,21,6.47;
2015,1,13,22,6.54;
2015,1,13,23,6.49;
2015,1,14,0,6.48;
2015,1,14,1,6.42;
2015,1,14,2,6.17;
2015,1,14,3,5.75;
2015,1,14,4,5.36;
2015,1,14,5,5.08;
2015,1,14,6,4.84;
2015,1,14,7,4.54;
2015,1,14,8,4.65;
2015,1,14,9,5.01;
2015,1,14,10,5.34;
2015,1,14,11,5.86;
2015,1,14,12,6.94;
2015,1,14,13,7.94;
2015,1,14,14,8.38;
2015,1,14,15,8.15;
2015,1,14,16,7.62;
2015,1,14,17,7.33;
2015,1,14,18,7.27;
2015,1,14,19,7.02;
2015,1,14,20,6.75;
2015,1,14,21,6.53;
2015,1,14,22,6.04;
2015,1,14,23,5.38;
2015,1,15,0,5.5;
2015,1,15,1,5.57;
2015,1,15,2,5.69;
2015,1,15,3,5.94;
2015,1,15,4,6.12;
2015,1,15,5,6.21;
2015,1,15,6,6.26;
2015,1,15,7,6.23;
2015,1,15,8,6.48;
2015,1,15,9,6.82;
2015,1,15,10,7.04;
2015,1,15,11,7.42;
2015,1,15,12,7.82;
2015,1,15,13,8.12;
2015,1,15,14,8.15;
2015,1,15,15,7.88;
2015,1,15,16,7.48;
2015,1,15,17,7.37;
2015,1,15,18,7.3;
2015,1,15,19,7.1;
2015,1,15,20,7.0;
2015,1,15,21,7.04;
2015,1,15,22,6.94;
2015,1,15,23,6.81;
2015,1,16,0,7.01;
2015,1,16,1,7.06;
2015,1,16,2,7.08;
2015,1,16,3,6.86;
2015,1,16,4,6.43;
2015,1,16,5,6.31;
2015,1,16,6,6.26;
2015,1,16,7,6.38;
2015,1,16,8,7.05;
2015,1,16,9,8.2;
2015,1,16,10,9.0;
2015,1,16,11,9.55;
2015,1,16,12,10.07;
2015,1,16,13,10.3;
2015,1,16,14,10.24;
2015,1,16,15,9.9;
2015,1,16,16,9.25;
2015,1,16,17,9.06;
2015,1,16,18,9.06;
2015,1,16,19,9.17;
2015,1,16,20,9.46;
2015,1,16,21,9.69;
2015,1,16,22,9.8;
2015,1,16,23,9.81;
2015,1,17,0,10.0;
2015,1,17,1,10.32;
2015,1,17,2,10.34;
2015,1,17,3,10.13;
2015,1,17,4,10.05;
2015,1,17,5,9.69;
2015,1,17,6,9.23;
2015,1,17,7,9.0;
2015,1,17,8,9.65;
2015,1,17,9,10.68;
2015,1,17,10,11.26;
2015,1,17,11,11.55;
2015,1,17,12,11.69;
2015,1,17,13,11.94;
2015,1,17,14,11.86;
2015,1,17,15,11.36;
2015,1,17,16,10.93;
2015,1,17,17,10.41;
2015,1,17,18,9.37;
2015,1,17,19,8.49;
2015,1,17,20,7.86;
2015,1,17,21,7.55;
2015,1,17,22,7.32;
2015,1,17,23,7.08;
2015,1,18,0,6.81;
2015,1,18,1,6.68;
2015,1,18,2,6.67;
2015,1,18,3,6.61;
2015,1,18,4,6.69;
2015,1,18,5,6.27;
2015,1,18,6,5.97;
2015,1,18,7,5.58;
2015,1,18,8,5.94;
2015,1,18,9,7.44;
2015,1,18,10,8.4;
2015,1,18,11,9.31;
2015,1,18,12,10.08;
2015,1,18,13,10.53;
2015,1,18,14,10.6;
2015,1,18,15,10.28;
2015,1,18,16,9.57;
2015,1,18,17,9.07;
2015,1,18,18,8.47;
2015,1,18,19,7.94;
2015,1,18,20,7.1;
2015,1,18,21,6.18;
2015,1,18,22,5.57;
2015,1,18,23,5.28;
2015,1,19,0,5.1;
2015,1,19,1,5.02;
2015,1,19,2,4.98;
2015,1,19,3,4.94;
2015,1,19,4,4.84;
2015,1,19,5,4.73;
2015,1,19,6,4.66;
2015,1,19,7,4.66;
2015,1,19,8,5.46;
2015,1,19,9,7.28;
2015,1,19,10,8.15;
2015,1,19,11,8.74;
2015,1,19,12,9.12;
2015,1,19,13,9.35;
2015,1,19,14,9.3;
2015,1,19,15,8.9;
2015,1,19,16,8.35;
2015,1,19,17,7.98;
2015,1,19,18,7.78;
2015,1,19,19,7.37;
2015,1,19,20,6.64;
2015,1,19,21,5.88;
2015,1,19,22,5.61;
2015,1,19,23,5.61;
2015,1,20,0,5.65;
2015,1,20,1,5.72;
2015,1,20,2,5.79;
2015,1,20,3,5.82;
2015,1,20,4,5.76;
2015,1,20,5,5.65;
2015,1,20,6,5.55;
2015,1,20,7,5.44;
2015,1,20,8,5.78;
2015,1,20,9,6.57;
2015,1,20,10,7.12;
2015,1,20,11,7.52;
2015,1,20,12,7.93;
2015,1,20,13,8.12;
2015,1,20,14,8.15;
2015,1,20,15,7.8;
2015,1,20,16,7.2;
2015,1,20,17,7.07;
2015,1,20,18,7.13;
2015,1,20,19,7.07;
2015,1,20,20,6.73;
2015,1,20,21,6.4;
2015,1,20,22,6.25;
2015,1,20,23,6.16;
2015,1,21,0,6.05;
2015,1,21,1,5.87;
2015,1,21,2,5.69;
2015,1,21,3,5.55;
2015,1,21,4,5.32;
2015,1,21,5,5.15;
2015,1,21,6,5.07;
2015,1,21,7,4.98;
2015,1,21,8,5.8;
2015,1,21,9,7.25;
2015,1,21,10,8.03;
2015,1,21,11,8.45;
2015,1,21,12,8.72;
2015,1,21,13,8.94;
2015,1,21,14,9.0;
2015,1,21,15,8.69;
2015,1,21,16,8.06;
2015,1,21,17,8.02;
2015,1,21,18,8.15;
2015,1,21,19,8.13;
2015,1,21,20,8.0;
2015,1,21,21,7.75;
2015,1,21,22,7.49;
2015,1,21,23,7.29;
2015,1,22,0,7.08;
2015,1,22,1,6.9;
